Feature,Coefficient,Absolute Coefficient,Direction
num__tenure,-1.1929905705445234,1.1929905705445234,Lower churn association
cat__Dependents_Yes,-0.9307254618468302,0.9307254618468302,Lower churn association
cat__Contract_Two year,-0.7532161052640253,0.7532161052640253,Lower churn association
cat__Dependents_No,0.70355064468949,0.70355064468949,Higher churn association
cat__Contract_Month-to-month,0.6597442784863691,0.6597442784863691,Higher churn association
cat__Internet Service_Fiber optic,0.5921525839596957,0.5921525839596957,Higher churn association
cat__Internet Service_DSL,-0.5625700482672594,0.5625700482672594,Lower churn association
num__MonthlyCharges,-0.5580889350608621,0.5580889350608621,Lower churn association
num__TotalCharges,0.4973939158084819,0.4973939158084819,Higher churn association
cat__Paperless Billing_No,-0.2738578984880073,0.2738578984880073,Lower churn association
cat__Internet Service_No,-0.25675735284972895,0.25675735284972895,Lower churn association
cat__Online Security_No internet service,-0.25675735284972895,0.25675735284972895,Lower churn association
cat__Device Protection_No internet service,-0.25675735284972895,0.25675735284972895,Lower churn association
cat__Streaming TV_No internet service,-0.25675735284972895,0.25675735284972895,Lower churn association
cat__Online Backup_No internet service,-0.25675735284972895,0.25675735284972895,Lower churn association
cat__Tech Support_No internet service,-0.25675735284972895,0.25675735284972895,Lower churn association
cat__Streaming Movies_No internet service,-0.25675735284972895,0.25675735284972895,Lower churn association
cat__Partner_No,-0.25302745197626686,0.25302745197626686,Lower churn association
cat__Multiple Lines_No,-0.2367295067939102,0.2367295067939102,Lower churn association
cat__Payment Method_Electronic check,0.23343128395663523,0.23343128395663523,Higher churn association
